Fecha,Hora,Altura de nieve,Direccion viento,Evaporacion,Humedad Relativa,Precipitacion,Presion Atmosferica,Punto de rocio,Radiacion solar,Rafagas,Sigma,Temperatura,UV,UVB,Velocidad del viento
01/02/2022,0,,3.5,,,,,,,,,14.82,,,5.91
01/02/2022,1,,7.7,,,,,,,,,13.72,,,4.05
01/02/2022,2,,43.2,,,,,,,,,12.19,,,3.34
01/02/2022,3,,71.3,,,,,,,,,11.55,,,2.78
01/02/2022,4,,42.4,,,,,,,,,12.15,,,3.67
01/02/2022,5,,53.6,,,,,,,,,11.56,,,3.32
01/02/2022,6,,79.8,,,,,,,,,10.88,,,3.07
01/02/2022,7,,59.2,,,,,,,,,13.59,,,1.75
01/02/2022,8,,33.2,,,,,,,,,16.09,,,2.48
01/02/2022,9,,6.9,,,,,,,,,18.06,,,3.62
01/02/2022,10,,336.7,,,,,,,,,20.54,,,3.34
01/02/2022,11,,301.4,,,,,,,,,22.71,,,3.85
01/02/2022,12,,285.3,,,,,,,,,24.15,,,4.05
01/02/2022,13,,288.5,,,,,,,,,25.12,,,4.14
01/02/2022,14,,295.8,,,,,,,,,26.17,,,3.94
01/02/2022,15,,304.2,,,,,,,,,27.05,,,4.17
01/02/2022,16,,242.2,,,,,,,,,26.36,,,6.46
01/02/2022,17,,236.8,,,,,,,,,25.07,,,6.59
01/02/2022,18,,224.2,,,,,,,,,23.25,,,6.93
01/02/2022,19,,228.8,,,,,,,,,20.88,,,6.45
01/02/2022,20,,215.7,,,,,,,,,18.33,,,4.68
01/02/2022,21,,214.6,,,,,,,,,16.66,,,2.16
01/02/2022,22,,172.9,,,,,,,,,15.65,,,1.43
01/02/2022,23,,187.3,,,,,,,,,14.37,,,0.56
02/02/2022,0,,109.3,,,,,,,,,13.74,,,1.44
02/02/2022,1,,156.9,,,,,,,,,13.31,,,0.9
02/02/2022,2,,115.1,,,,,,,,,12.09,,,1.32
02/02/2022,3,,74.3,,,,,,,,,11.01,,,0.81
02/02/2022,4,,44.3,,,,,,,,,10.75,,,1.08
02/02/2022,5,,320.8,,,,,,,,,10.49,,,1.12
02/02/2022,6,,105.9,,,,,,,,,10.93,,,1.63
02/02/2022,7,,334.8,,,,,,,,,14.82,,,1.7
02/02/2022,8,,160.5,,,,,,,,,19.85,,,3.32
02/02/2022,9,,205.7,,,,,,,,,21.78,,,3
02/02/2022,10,,227.9,,,,,,,,,23.21,,,3.32
02/02/2022,11,,218,,,,,,,,,24.68,,,3.33
02/02/2022,12,,224.2,,,,,,,,,25.83,,,4.2
02/02/2022,13,,216.7,,,,,,,,,26.69,,,4.39
02/02/2022,14,,219.2,,,,,,,,,27.16,,,4.83
02/02/2022,15,,210.5,,,,,,,,,27.71,,,5.16
02/02/2022,16,,216,,,,,,,,,26.99,,,6.46
02/02/2022,17,,218.9,,,,,,,,,24.92,,,8.89
02/02/2022,18,,221.5,,,,,,,,,22.36,,,8.23
02/02/2022,19,,220.1,,,,,,,,,20.09,,,6.75
02/02/2022,20,,219.3,,,,,,,,,18.21,,,4.56
02/02/2022,21,,211.2,,,,,,,,,16.64,,,3.21
02/02/2022,22,,191,,,,,,,,,15.84,,,1.65
02/02/2022,23,,100.8,,,,,,,,,14.21,,,1.24
03/02/2022,0,,175,,,,,,,,,13.47,,,1.41
03/02/2022,1,,150.1,,,,,,,,,12.53,,,1.33
03/02/2022,2,,38.5,,,,,,,,,11.92,,,1.66
03/02/2022,3,,63.8,,,,,,,,,12.53,,,1.89
03/02/2022,4,,7.7,,,,,,,,,11.7,,,1.27
03/02/2022,5,,36.4,,,,,,,,,12.13,,,1.94
03/02/2022,6,,68.8,,,,,,,,,11.16,,,2.1
03/02/2022,7,,1,,,,,,,,,12.96,,,1.31
